channel_id,channel_segmentation
565501238,NO
1377949257,NO
1059805429,OTROS
-808273538,NO
-1995572528,RESTAURANTE
-1276280174,PUB
1970338662,OTROS
1625004744,TRADICIONAL
-1918504127,PUB
1391777623,NO
-181399870,RESTAURANTE
194695848,NO
135093849,OTROS
-2142269034,SMK
651275377,AUTOSERVICIOS
-986995827,NO
651275377,OTROS
651275377,KIOSCOS
-478516100,NO
-1745483062,OTROS
-1756013582,AUTOSERVICIOS
1986144656,NO
-866616713,OTROS
-1033330906,SMK
1049363570,NO
541481139,INSTITUCIONES
1299239874,NO
141897003,RESTAURANTE
-2071733625,MAYORISTA
-1255987793,OTROS
-2030830193,NO
-1929623325,RESTAURANTE
-2138196353,NO
38586592,NO
-635186254,PUB
-866616713,KIOSCOS
1759010777,RESTAURANTE
870267989,KIOSCOS
